PAINT 2026 LABOR BILL,,,,,,
,,,,,,
,,,,,,
PAINTER:  ,,,,,,
CUSTOMER: NAME ,,,,,,
PROJECT MANAGER: SALES,,,,Spec. Qty,Unit,Rate
SIDING / SOFFIT & FASCIA / SOFFIT ONLY / FASCIA ONLY / FRIEZE BOARD / TRIM,,,,,,
,,,,,,
Siding & Trim,Fiber Cement Siding,,,12,Square,
,Exisiting Siding or Stucco or Brick,,,,Square,
Soffit & Fascia,New Hardie,,,,Lin. Ft.,
,Exisiting Wood,,,,Lin. Ft.,
Soffit Only,New HardiSoffit,,,230,Lin. Ft.,
,Exisiting Wood,,,,Lin. Ft.,
Fascia Only,New HardiFascia,,,,Lin. Ft.,
,Exisiting Wood,,,,Lin. Ft.,
Install Shutters,,,,,Pair,
Frieze Board / Trim,HardiTrim,,,,Lin. Ft.,
,Exisiting Wood,,,,Lin. Ft.,
Architectural Trim (Tudor Style),"Existing Wood or HardiTrim (under 8"")",,,,Lin. Ft.,
Power Wash,,,,,Each,
Dentil Molding,Exisiting Wood/ Bandboard,,,,Lin. Ft.,
WINDOW & DOOR TRIM / SASHES / REGLAZING,,,,,,
Hardie Window & Door Trim,Windows & Doors,,,,Each,
,Single Garage Door TRIM ONLY,,,2,Each,
,Double Garage Door,,,,Each,
Existing Window & Door TRIM ONLY,Windows - Trim Only,,,,Each,
,Entry Door - Trim Only,,,,Each,
,Single Garage Door,,,,0,
,Double Garage Door,,,,Each,
Paint Entire Window/Door,Windows,,,,Per Unit,
,Single Doors,,,,Per Unit,
,Front Door/ Side Lights/ Casing,,,,Per Unit,
"(incl. frame, sashes, casing and trim)",Single Garage Door,,,,Per Unit,
,Double Garage Door,,,,Per Unit,
MISCELLANEOUS,,,,,,
Paint Shutters,Add $5.00 to Install,,,,Pair,
Decorative Crown above Windows/ Doors,,,,,Each,
Remove Gutters,,,,,Each,
Door Surrounds,,,,,Each,
Bay / Bow Caps,,,,,Each,
Chimney Caps & Trim,Flat Black Enamel Only,,,2,Each,
Gable Vent,,,,,Each,
Porch Ceiling (Incl. Beams),Exisiting Wood,,,,Sq. Ft.,
,New Hardie Material,,,,Sq. Ft.,
Porch/ Deck Floors,,,,,Sq. Ft.,
Porch/ Deck Posts,,,,,Lin. Ft.,
Porch/ Deck Railing,,,,,Lin. Ft.,
Service up to 2 hours,,,,,Each,
Service up to 4 hours,,,,,Each,
Service more than 4 hours/ Whole Day,,,,,Each,
Paint Gutters Only,(Same Color Included),,,,Ln. Ft.,
Paint Downspouts Only,(Same Color Included),,,,Ln. Ft.,
Paint Gutters and Downspouts,(Same Color Included),,,,Ln. Ft.,
Paint Foundation,(Same Color Included),,,,Each,
"COMMENTS: ""Additional Labor"" requires prior approval of SIDING DEPOT",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
APPROVED:____________________________________________________ TOTAL: ________________________________,,,,,,