SIDING 2026 LABOR BILL,,,,,
,,,,,
INSTALLER: ,,,JOB #:,,
CUSTOMER: CUSTOMER,,,COMPLETION DATE:,,
PROJECT MANAGER: SALES,,,Quantity,Unit,Rate
SIDING:,,,,,
"Fiber Cement Siding:  Cedarmill, Smooth (including removal,
 house wrap, corners, block penetration, gutters)",,,14,Square,
,,,,,
Shake: - Straight Edge / Staggered Edge. Board and Batten,,,,Square,
Vinyl Siding: with NO insullation (add $15.00 square with insullation),,,,Square,
Vinyl Shingle: with NO insullation (add $15.00 square with insullation),,,,Square,
"SOFFIT, FASCIA, FRIEZE BOARD, & TRIM",,,,,
Soffit & Fascia,Hardie,12' to 24',6,Lin. Ft.,
,Vinyl,,,Lin. Ft.,
Soffit Only,HardiSoffit,,,Lin. Ft.,
,Vinyl,,,Lin. Ft.,
Fascia Only,Wood or Hardie Fascia,"6"" to 10""",6,Lin. Ft.,
,PVC Trim Coil,,,Lin. Ft.,
Frieze Board,HardiFrieze,,,Lin. Ft.,
,PVC Trim Coil,,,Lin. Ft.,
Bandboard Trim,"HardiTrim 1X6, 1X8 OR 1X10",,,Lin. Ft.,
Crown Molding,,,,Lin. Ft.,
Rake Molding / Base Cap,,,,Lin. Ft.,
Chimney Cap and Trim,,,,Unit,
Gable Vent Instalation (24 x18),,,,Unit,
Bay Window (Panel),,,,Unit,
Bay Window (Extra Service),,,,Unit,
REMOVE 2nd LAYER OF SIDING,,,,,
Remove 2nd Layer,,,,Square,
WRAPS,,,,,
Hardie or PVC Trim,Windows / Doors,,,Frame,
,Single Garage Door or Patio Door,,,Frame,
,Double Garage Door,,3,Frame,
PVC Coil Trim,Windows / Doors,,,Frame,
,Single Garage Door or Patio Door,,,Frame,
,Double Garage Door,,,,
Window & Door Pediment,,,,Unit,
REMOVE & REINSTALL,,,,,
Windows Tape,,,,Each,
Pediments Doors & Windows,,,,Each,
Shutters,Install New Vinyl Shutters,,,Pair,
"FURRING, PORCH CEILING, SPECIALTY WRAPS",,,,,
Fiber Cement Porch Ceiling,,,,Sq. Ft.,
Fiber Cement Beam Wrap,,,,Ln. Ft.,
Fiber Cement Columns Wrap,,,,Each,
Vinyl Porch Ceiling (incl. Beams & Posts),,,,Sq. Ft.,
Low-e Wrap insulation,,,,Sq. Ft.,
MISCELLANEOUS,,,,,
Replace Rotted Wood ,Plywood / Sheathing,,,Piece,
,"Dimensional Lumber (2x4 , 2x6)",,,Lin. Ft.,
,Dimensional Lumber (2x10),,,Lin. Ft.,
Trip Charge,,,,Per Job,
Miscellaneous Labor - Comments Below,,,,Per Hour,
TRIM REPAIRS,,,,,
Window Brick Mold or blind stop,,,,Lin. Ft.,
Window Nose,,,,Lin. Ft.,
Window Sill,,,,Unit,
PLATNUM INSTALLATION,,,,Lin. Ft.,
COMMENTS: Additional Labor Requires Prior Approval of SIDING DEPOT,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
APPROVED:____________________________________________________ TOTAL: ___________________________,,,,,